original_id,mapped_id,name,text
90,79,Trojan Horse attacks,"Trojan Horse attacks: If Steve tricks Bob into copying data from table R into table R0, then the access control on table R doesn’t apply to the copy of the data in table R0."
91,80,Transactions,A transaction is a sequence of database operations grouped together for execution as a logic unit in a DBMS.
92,81,ACID Properties,"DBMSs ensure the following properties of transactions. Atomicity is the execution of each transaction is atomic, i.e., either all operations are completed or not done at all. Consistency is the states of a database that are consistent (w.r.t. defined business rules) before and after each transaction. Isolation is execution results of each transaction should be unaffected by other concurrently executing transactions. Durability is once a transaction has been successfully completed, its effects should persist in the database"
93,82,Isolation,"In database systems, isolation determines how transaction integrity is visible to other users and systems."
94,83,Locking,Locking protocols are used in database management systems as a means of concurrency control. Multiple transactions may request a lock on a data item simultaneously.
95,84,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
96,85,Two-Phase Locking (2PL) Protocol,Two-Phase Locking Protocol is also known as 2PL protocol is a method of concurrency control in DBMS that ensures serializability by applying a lock to the transaction data which blocks other transactions to access the same data simultaneously. Two-Phase Locking protocol helps to eliminate the concurrency problem in DBMS.
97,86,Logging,Logging is a technique for recovery (assuring atomicity and durability of transactions).
98,87,The Dirty Read Problem,"Dirty read is a read of uncommitted data. If a particular row is modified by another running application and not yet committed, we also run an application to read the same row with the same uncommitted data."
99,88,The Unrepeatable Read Problem,The unrepeatable problem occurs when two or more read operations of the same transaction read different values of the same variable.
100,89,The Lost Update Problem,"In the lost update problem, an update done to a data item by a transaction is lost as it is overwritten by the update done by another transaction."
101,90,Read Uncommitted,Read Uncommitted is the least restrictive isolation level.
102,91,Read Committed,"Read Committed is One transaction only sees committed changes by other
transactions."
103,92,Serializable,Serializable is the highest solution level. All transactions are totally isolated from other transactions. It is safe but may cause significant performance hit.
